ChristianGünter Freiburg 25 D(L)M(L) 34 3060 35.6 2.1 2.8 23.4 7.3 6.78
DanielDidavi Wolfsburg 28 AM(CR) 30 2250 28.6 1 0.8 21.6 5.1 6.78
YannickGerhardt Wolfsburg 24 D(L)M(CL) 17 1225 32.1 1.5 1.1 23.6 5.9 6.78
JosipBrekalo Wolfsburg 20 AM(CLR) 13 836 23 1.3 0.8 16.6 4.2 6.77
DanielBrosinski Mainz05 30 D(LR)M(LR) 29 2503 34.2 2.3 3.6 22.2 6.1 6.77
MaxMeyer Schalke04 22 M(CL)FW 24 1733 43.9 1.8 0.9 37.3 3.9 6.77
AndréSchürrle BorussiaDortmund 27 M(CLR)FW 18 1234 26.9 1 0.5 20.2 5.2 6.77
MattiSteinmann HamburgerSV 23 DMC 8 601 53.4 3.1 1.3 40.6 8.4 6.77
NiklasMoisander WerderBremen 32 D(C) 25 2250 58.9 5.8 4.5 43.5 5.2 6.77
YevhenKonoplyanka Schalke04 28 AM(CL)FW 27 1568 14.5 0.2 0.1 11.1 3 6.77
LukasKlostermann RasenBallsportLeipzig 22 D(LR) 26 2193 35.9 1.1 1.2 26.4 7.3 6.76
LeonBalogun Mainz05 30 D(CR) 14 1176 33.9 2 3.3 23.5 5.1 6.76
MergimMavraj HamburgerSV 32 D(C) 17 1448 42.8 3.2 4.8 29.6 5.1 6.76
MarcelTisserand Wolfsburg 25 D(CLR)M(R) 16 1248 42.4 3.8 3.1 31.6 4 6.75
SalomonKalou HerthaBerlin 33 AM(CLR)FW 31 2224 19.4 0.4 0.3 13.4 5.3 6.75
YoshinoriMuto Mainz05 26 FW 27 1906 12.4 0.1 0.1 9.2 3 6.75
Dan-AxelZagadou BorussiaDortmund 19 D(L) 11 654 40.6 1.8 1.5 31.5 5.8 6.75
MijatGacinovic EintrachtFrankfurt 23 M(CLR) 29 1820 20.2 1 1 13.6 4.6 6.75
MaximilianArnold Wolfsburg 24 M(CR) 29 2454 45.7 4.7 3.1 33.6 4.3 6.74
NicoSchulz Hoffenheim 25 D(L)M(L) 27 1773 29.2 0.8 1.8 21.6 5 6.74
MilosJojic FCCologne 26 M(CLR) 25 1462 24.2 1 0.7 17.8 4.7 6.74
MaximilianEggestein WerderBremen 21 M(C) 33 2700 28.9 1.2 1 20.6 6.1 6.74
LudwigAugustinsson WerderBremen 24 D(L)M(L) 29 2535 37.2 1.7 2.1 27.3 6.1 6.73
YunusMalli Wolfsburg 26 AM(CL)FW 31 2243 25.7 0.6 0.9 19.4 4.8 6.73
PascalStenzel Freiburg 22 D(R)M(R) 25 1939 33.8 4.8 3 21.6 4.4 6.73
PeterPekarík HerthaBerlin 31 D(LR) 17 1379 36.3 1.2 2.6 26.2 6.2 6.73
LeonardoBittencourt FCCologne 24 AM(CLR) 22 1616 27.5 0.6 1 20.3 5.5 6.73
ManuelNeuer BayernMunich 32 GK 3 270 28 8.7 4 15 0.3 6.73
RalfFährmann Schalke04 29 GK 34 3016 24.2 6.9 8.9 8.5 - 6.73
ThomasKraft HerthaBerlin 30 GK 4 271 32.8 9.3 13.3 10.3 - 6.73
DenisZakaria BorussiaM.Gladbach 21 DMC 30 2308 32.9 1.6 0.8 27.8 2.8 6.73
DennisGeiger Hoffenheim 20 DMC 21 1594 37.9 1.8 0.9 31.6 3.6 6.73
