LukeShaw ManchesterUnited 23 D(L) 11 789 43.4 0.7 1.5 36.1 5.1 6.86
PeterCrouch Stoke 37 FW 31 1555 20.5 0.1 0.1 11.9 8.3 6.85
MohamedDiamé NewcastleUnited 31 M(CLR) 31 2043 26.3 1.5 0.8 19.9 4.1 6.85
DavidLuiz Chelsea 31 D(C)DMC 10 839 49.2 4 3.6 38 3.6 6.85
PedroObiang WestHam 26 DMC 21 1565 36.1 2.3 1.8 26.8 5.3 6.85
VicenteIborra Leicester 30 M(C) 19 1417 45.1 2.4 1.6 34.4 6.7 6.85
MikelMerino NewcastleUnited 22 DMC 24 1343 33.8 1.7 1.8 25.1 5.2 6.85
Richarlison Watford 21 AM(CLR)FW 38 2827 21.2 0.2 0.5 13.3 7.1 6.84
KyleNaughton Swansea 29 D(LR)M(R) 34 3033 48.2 2.1 4 33.9 8.1 6.84
MattRitchie NewcastleUnited 28 AM(CLR) 35 2812 29.9 1.4 2.2 20.3 6 6.84
DaleyBlind ManchesterUnited 28 AM(CLR) 35 2812 29.9 1.4 2.2 20.3 6 6.84
ClaudioBravo ManchesterCity 35 GK 3 225 18.3 3.3 1.3 13.3 0.3 6.83
DavidDeGea ManchesterUnited 27 GK 37 3330 25.5 7 10.8 7.6 - 6.83
RobertElliot NewcastleUnited 32 GK 16 1440 30.7 10.4 14.1 6 0.1 6.83
EldinJakupovic Leicester 33 GK 2 180 21.5 8.5 10 3 - 6.83
JackWilshere Arsenal 26 M(CLR) 20 1188 40.4 1.2 1.1 33.8 4.5 6.82
PhilJagielka Everton 36 D(CR) 25 2065 38.6 4.4 5.4 24.9 3.9 6.82
JesseLingard ManchesterUnited 25 AM(CLR) 33 1823 28.2 0.6 0.2 24.2 3.3 6.82
JoelWard CrystalPalace 28 AM(CLR) 33 1823 28.2 0.6 0.2 24.2 3.3 6.82
BenChilwell Leicester 21 D(L)M(L) 24 1852 37.5 1.1 2.7 26.6 7.1 6.82
