SoualihoMeité Bordeaux 24 AM(C) 18 1335 38.7 1.4 0.9 31.3 5.1 6.97
YvesBissouma Lille 21 M(C) 24 1557 41 2 1.2 33 4.9 6.97
AdilRami Marseille 32 D(C) 33 2957 56.6 4.7 3.9 44.3 3.7 6.97
KarlTokoEkambi Angers 25 AM(L)FW 37 3041 24.2 0.9 0.2 18 5.1 6.96
Hilton Montpellier 40 D(C) 27 2430 39.5 6.2 5.3 25.1 2.9 6.96
KennyLala Strasbourg 26 D(LR) 31 2725 43.3 5.5 3.7 28.5 5.5 6.96
PatriceEvra Marseille 37 D(CL)M(L) 4 350 32 0.5 1.8 22.8 7 6.96
LucasTousart Lyon 21 DMC 37 3140 41.5 1.8 1 34 4.8 6.95
YassineBenzia Lille 23 AM(CLR)FW 31 2308 42.7 1.9 1.2 32.9 6.6 6.95
DiegoCarlos Nantes 25 D(C) 28 2294 31.9 2.6 4.6 21.6 3 6.95
ArnaudSouquet Nice 26 D(CR) 29 2415 47.3 2.1 1.3 39.4 4.5 6.95
AlmamyTouré Monaco 22 D(R) 20 1242 23.6 0.9 1.6 16.5 4.7 6.94
AbdoulayeTouré Nantes 24 DMC 36 2813 37.4 2.2 1.8 27.5 5.9 6.94
JulesKoundé Bordeaux 19 D(C) 18 1588 46.7 3.4 4.4 35.7 3.2 6.94
YannisSalibur Guingamp 27 AM(CLR)FW 22 1529 24.5 0.6 0.3 19.7 3.9 6.94
ThomasMonconduit Amiens 27 DMC 34 2956 42.1 2.3 2.1 31 6.6 6.94
LukasLerager Bordeaux 25 DMC 37 3286 42.6 1.9 1.9 30.9 7.9 6.94
MoussaSylla Monaco 18 Forward 5 303 13.2 - - 7.6 5.6 6.94
YannM'Vila Saint-Etienne 28 M(C) 17 1482 75.6 6.8 2.4 60 6.4 6.93
BoubacarKamara Marseille 18 D(C)DMC 6 455 45.3 2 1.7 38.5 3.2 6.93
Jemerson Monaco 26 D(C) 33 2857 41.1 2.5 2.7 33.3 2.6 6.93
JonathanBamba Saint-Etienne 22 AM(LR)FW 34 2572 31.5 0.8 0.7 24.5 5.4 6.93
AdamaMbengue Caen 24 D(L) 19 1596 28.1 1.8 4.2 16.9 5.2 6.92
DaniloAvelar Amiens 29 D(L)M(L) 21 1728 29.9 1.6 3 19.7 5.7 6.92
IsmailaSarr Rennes 20 AM(LR)FW 24 1866 16.8 0.1 0.2 13.3 3.2 6.92
AnthonyLopes Lyon 27 GK 34 3060 25.9 4.8 6.2 14.8 - 6.92
JeanMichaelSeri Nice 27 M(C) 31 2623 86.3 5.3 2.1 72.7 6.2 6.92
AlexanderDjiku Caen 24 D(CR) 28 2520 45.7 3.4 3.1 33.5 5.7 6.92
AmbroiseOyongo Montpellier 27 D(LR)M(L) 3 203 23.7 1.3 0.3 18 4 6.92
JohnStivenMendoza Amiens 26 AM(CLR) 13 1038 25.2 0.8 0.8 18.2 5.5 6.92
NicolasPepe Lille 23 AM(R)FW 36 2846 27 0.8 0.6 21.2 4.3 6.91
Marquinhos ParisSaintGermain 24 D(CR) 26 2264 63.9 4.1 1.8 55.9 2.1 6.91
AdrienTameze Nice 24 DMC 26 1683 50.5 2.5 0.8 43.6 3.5 6.91
RégisGurtner Amiens 31 GK 37 3330 31.3 9.4 16.3 5.6 - 6.90
ChristopheKerbrat Guingamp 32 D(C) 37 3321 44.2 4.8 4.4 31.9 3.1 6.90
JeanEudesAholou Strasbourg 24 DMC 35 3011 38.5 2.7 1.5 30.4 3.9 6.90
PedroMendes Montpellier 27 D(CR) 34 2856 40.7 4.4 3.9 29.1 3.4 6.90
OleSelnaes Saint-Etienne 24 DMC 26 2060 47.5 4 2.7 35.5 5.2 6.89
HirokiSakai Marseille 28 D(LR)M(R) 33 2523 37.1 0.6 1.6 29.8 5 6.89
TerenceKongolo Monaco 24 D(CL) 3 258 36.3 1.3 2.7 26.7 5.7 6.89
ChristopherJullien Toulouse 25 D(C) 30 2607 41.2 5.1 4.9 27.5 3.7 6.89
AlphonseAreola ParisSaintGermain 25 GK 34 3060 21.5 2.5 1.8 17.1 0.1 6.88
PaulLasne Montpellier 29 M(CLR) 37 3063 46.8 3.4 2.2 34.7 6.4 6.88
ThomasMangani Angers 31 M(C) 35 3027 55.7 3.9 3.5 39 9.3 6.88
YoannAndreu Angers 29 D(LR) 23 2070 39.1 1.4 2.7 30 5 6.87
KennyTete Lyon 22 D(R) 22 1603 38 1.7 1.5 30.4 4.4 6.87
BenjaminCorgnet Strasbourg 31 M(CLR)FW 18 1382 29.8 1.1 1.3 19.3 8.2 6.87
MoustaphaDiallo Guingamp 32 M(C) 26 1381 23.4 1.2 0.6 17.9 3.7 6.86
BaptisteReynet Dijon 27 GK 38 3420 37.3 10 11.4 15.7 0.1 6.86
DanielCongré Montpellier 33 D(CLR) 32 2633 38.8 2.8 2.2 29.8 4.1 6.86
KevinTrapp ParisSaintGermain 28 GK 4 360 18 1.3 1.3 15 0.5 6.86
DamienDaSilva Caen 30 D(C) 32 2838 42.1 5.6 4.3 29 3.2 6.85
MaximeLeMarchand Nice 28 D(CL) 29 2536 62.8 2.6 2.9 53.1 4.3 6.85
MartinTerrier Strasbourg 21 AM(L)FW 25 1673 18.8 0.5 0.3 13.8 4.1 6.85
Keita Monaco 23 AM(LR)FW 23 1484 15.1 0.1 0.3 11.5 3.2 6.85
GiannelliImbula Toulouse 25 M(C) 28 2256 42.1 2.2 1.4 34.9 3.7 6.84
RomainAmalfitano Dijon 28 DMCM(R) 33 2706 41.8 4.2 2.7 30.2 4.6 6.84
PresnelKimpembe ParisSaintGermain 23 D(C) 28 2425 66.4 2.3 1.1 61 2 6.84
NolanRoux Metz 30 AM(LR)FW 35 2845 22.3 0.9 0.5 14.5 6.4 6.84
JulienFéret Caen 36 M(C) 37 3069 42.6 3.2 1.9 30.9 6.6 6.84
YouriTielemans Monaco 21 M(C) 27 1567 30.1 1.8 1.1 22.9 4.4 6.84
NicolasBenezet Guingamp 27 AM(CLR) 29 1653 29.5 1.4 0.4 22 5.7 6.83
ErnestSeka Strasbourg 31 D(LR) 27 2179 40.3 1.9 2.9 29 6.5 6.83
ErwinZelazny Troyes 26 GK 17 1530 34.1 9.6 16.2 8.3 - 6.83
KoffiDjidji Nantes 25 D(CL) 29 2419 28.1 2.1 3.3 19.2 3.4 6.83
BryanDabo Saint-Etienne 26 D(R)M(CR) 16 1289 38.6 1 1 28.9 7.7 6.83
ChristopheHerelle Troyes 26 D(C) 34 2959 37.2 4.4 3 26.7 3.1 6.82
IssaDiop Toulouse 21 D(C) 34 3060 36.4 2.9 3.2 26 4.2 6.82
LudovicBaal Rennes 32 D(L)M(L) 17 1161 40.4 1.4 2.3 30.2 6.5 6.81
NunodaCosta Strasbourg 27 AM(R)FW 26 1739 13.5 0.5 0.5 8.2 4.4 6.81
CharlesTraoré Troyes 26 D(L) 34 2998 38.3 2.1 3.1 27.6 5.6 6.81
Saif-EddineKhaoui Troyes 23 AM(CR) 32 1960 19.7 0.6 0.5 13.5 5.1 6.81
CedricVarrault Dijon 38 D(C) 11 885 39.6 2.1 2.5 31.5 3.5 6.81
PierrickCapelle Angers 31 D(L)M(CLR) 28 1895 27.1 1.1 0.9 20.3 4.8 6.80
Somália Toulouse 29 D(R)M(CR) 27 2011 21.8 0.5 0.7 16.7 3.9 6.80
PatrickBurner Nice 22 D(R) 13 896 41.3 1.5 2.1 34.8 2.9 6.80
KaderMangane Strasbourg 35 D(C)DMC 20 1719 33.5 4.3 4.5 21.1 3.7 6.80
TomasKoubek Rennes 25 GK 34 3060 25.6 7.1 11.7 6.7 0.1 6.79
MamadouSamassa Troyes 28 GK 21 1890 26.7 7 14 5.6 - 6.79
KhaledAdénon Amiens 33 D(C) 34 2919 33.9 2.6 2.5 25.6 3.2 6.79
KwonChang-Hoon Dijon 24 AM(R) 34 2143 17.9 0.7 0.9 12.2 4.1 6.79
MartinBraithwaite Bordeaux 27 AM(CLR)FW 14 915 14.4 0.4 - 10.4 3.7 6.79
JorisGnagnon Rennes 21 D(C) 36 2918 35.9 1.5 1.6 31.1 1.7 6.79
ThiagoMotta ParisSaintGermain 35 M(C) 19 1159 70.3 3.3 0.8 62.4 3.7 6.79
WesleySaid Dijon 23 AM(LR)FW 29 1841 16.4 0.3 0.6 12.5 3.1 6.79
KostasMitroglou Marseille 30 FW 19 871 6.8 0.1 - 4.6 2.1 6.79
JimmyBriand Guingamp 33 M(LR)FW 37 3213 26.2 0.3 0.6 19.5 5.9 6.79
JérémyMorel Lyon 34 D(CL) 33 2915 59.5 3.3 2 50.7 3.5 6.78
JúniorAlonso Lille 25 D(C) 34 2780 54.2 4 4.7 40.1 5.4 6.78
Prince Amiens 24 D(C) 32 2751 33.5 1.5 3.2 25.4 3.5 6.78
BenjaminLecomte Montpellier 27 GK 38 3420 24.4 8.1 8.6 7.6 0.1 6.78
MathieuDeplagne Troyes 26 D(R) 28 2414 36.1 1.7 1.9 27.5 4.9 6.78
Xeka Dijon 23 M(C) 17 1395 39.4 3.4 2.5 28.9 4.6 6.78
ValèreGermain Marseille 28 AM(L)FW 35 2170 14.4 0.3 0.3 10.6 3.3 6.78
JeffReine-Adélaïde Angers 20 M(R) 10 443 15.2 0.3 0.2 11.8 2.9 6.78
SanjinPrcic Rennes 24 M(C) 19 1569 48.4 4.3 2.3 37.9 3.9 6.77
JuniorSambia Montpellier 21 AM(C) 28 1539 24.3 1.1 0.7 19.3 3.1 6.77
IssaCissokho Amiens 33 D(LR)M(R) 19 1629 32.4 2.2 3.5 22.4 4.4 6.77
RobertBeric Saint-Etienne 27 FW 15 1046 11.8 0.1 0.1 8.2 3.4 6.77
FouadChafik Dijon 31 D(R)M(R) 23 1621 28.3 1.3 2.3 19.7 5 6.77
NicolasdePreville Bordeaux 27 AM(CLR)FW 29 1941 22.2 0.8 0.4 15.6 5.4 6.77
OualidElHajjam Amiens 27 D(R) 26 2197 28.8 1.5 3.5 19 4.8 6.77
GiovanniSio Montpellier 29 FW 33 2203 18.2 0.2 0.2 12.2 5.5 6.76
EdgarIé Lille 24 D(CR) 35 3147 49.5 1.7 2.5 40.1 5.1 6.76
ClintonN'Jie Marseille 25 AM(L)FW 22 871 8.8 0.3 - 6.9 1.5 6.76
RomainHamouma Saint-Etienne 31 M(CLR)FW 29 1854 18.7 0.5 0.5 14.2 3.4 6.76
Otávio Bordeaux 24 DMC 21 1492 42.8 4 2 33.6 3.2 6.76
YannickCahuzac Toulouse 33 DMC 20 1522 28.1 1.7 1.2 21.6 3.6 6.75
StéphaneRuffier Saint-Etienne 31 GK 35 3113 28.9 6.9 10 11.8 0.1 6.75
GabrielSilva Saint-Etienne 27 D(LR)M(L) 25 2080 32.5 1.4 1.8 25.1 4.1 6.75
FlorentMollet Metz 26 AM(CL) 22 1415 29 2.2 0.7 23.1 2.9 6.75
JonathanRivierez Metz 29 D(LR) 26 2067 28.2 2 2.3 19.5 4.3 6.75
ValentinRongier Nantes 23 M(C) 32 2361 41.6 1.9 0.8 34.4 4.6 6.75
MarcusThuram Guingamp 21 AM(L)FW 32 1926 15.3 0.2 0.1 10.6 4.5 6.74
ValentinRosier Dijon 22 D(LR) 36 2781 30.9 1.3 2.5 23.1 4 6.74
ValentinEysseric Nice 26 AM(CLR) 1 90 66 3 1 52 10 6.74
FrançoisKamano Bordeaux 22 AM(LR)FW 35 2022 17.7 0.4 0.3 14.4 2.7 6.74
JonasMartin Strasbourg 28 M(CL) 36 3042 46.8 2.1 1.1 37.9 5.7 6.74
EmilianoSala Nantes 27 FW 36 3035 23 0.3 0.3 14.1 8.3 6.74
FélixEboaEboa Guingamp 21 D(C) 23 1519 28.2 2.2 2.2 20.3 3.6 6.73
JordanIkoko Guingamp 24 D(LR) 28 2419 35.9 2.1 2.3 27.2 4.3 6.73
ThiagoMendes Lille 26 D(R)M(CR) 31 2300 42.5 2.2 1.6 34.5 4.2 6.73
Rolando Marseille 32 D(C) 31 2512 43.6 3.7 2.2 35.3 2.4 6.73
JérémyToulalan Bordeaux 34 D(C)M(C) 21 1890 49.7 4.1 4.6 38.1 2.8 6.73
PedroRebocho Guingamp 23 D(L) 21 1723 36.6 2 2 27.7 4.8 6.73
YounousseSankharé Bordeaux 28 M(C) 29 1882 30.3 0.8 0.7 24.9 3.8 6.73
LucasDeaux Guingamp 29 D(C)DMC 26 1952 45.2 3 1.6 34 6.6 6.73
KevinN'Doram Monaco 22 DMC 11 720 39.5 2.6 1.2 32 3.6 6.73
RémyCabella Marseille 28 M(CLR) 3 62 12 0.3 - 9.3 2.3 6.72
KarimAzamoum Troyes 28 M(CR) 30 2257 29.5 1.1 1.3 20.3 6.8 6.72
YoussefAïtBennasser Caen 22 DMC 27 2054 41.4 4.1 2.1 30.4 4.8 6.72
IsmaelTraoré Angers 32 D(CR) 32 2857 34.7 2.4 2.8 26.7 2.8 6.72
VincentPajot Saint-Etienne 28 M(C) 20 1291 27.8 1.4 1.1 20.4 5 6.72
AndyDelort Toulouse 26 AM(R)FW 32 2336 22.4 0.6 0.8 13.1 7.8 6.71
Dante Nice 34 D(C) 33 2920 70.5 5.1 2.6 59.7 3.1 6.71
KévinThéophile-Catherine Saint-Etienne 28 D(CLR) 25 2164 43.1 3.2 4.5 32.3 3.1 6.71
